14,0,1,1,890.294,73.968,942.941,220.703
13,0,1,1,1361.498,10.463,1408.828,142.648
12,0,1,1,1459.905,28.546,1511.704,167.011
11,0,1,1,1645.396,113.399,1713.707,277.873
10,0,1,1,1790.455,174.285,1877.452,359.453
9,0,1,1,1615.588,890.117,1748.101,1277.631
8,0,1,1,1607.143,601.733,1717.096,892.799
7,0,1,1,656.185,994.592,791.581,1387.335
6,0,1,1,876.425,392.142,956.344,628.416
5,0,1,1,793.722,235.410,861.430,427.627
4,0,1,1,719.708,220.830,786.893,408.145
3,0,1,1,286.849,230.501,365.794,416.410
2,0,1,1,285.748,291.418,370.556,493.414
1,0,1,1,235.925,770.142,371.546,1101.029
14,1,1,1,890.294,73.968,942.941,220.703
13,1,1,1,1361.498,10.463,1408.828,142.648
12,1,1,1,1459.905,28.546,1511.704,167.011
11,1,1,1,1645.396,113.399,1713.707,277.873
10,1,1,1,1790.455,174.285,1877.452,359.453
9,1,1,1,1615.588,890.117,1748.101,1277.631
8,1,1,1,1607.143,601.733,1717.096,892.799
7,1,1,1,656.185,994.592,791.581,1387.335
6,1,1,1,876.425,392.142,956.344,628.416
5,1,1,1,793.722,235.410,861.430,427.627
4,1,1,1,719.708,220.830,786.893,408.145
3,1,1,1,286.849,230.501,365.794,416.410
2,1,1,1,285.748,291.418,370.556,493.414
1,1,1,1,235.925,770.142,371.546,1101.029
14,2,1,1,890.294,73.968,942.941,220.703
13,2,1,1,1361.498,10.463,1408.828,142.648
12,2,1,1,1459.905,28.546,1511.704,167.011
11,2,1,1,1645.396,113.399,1713.707,277.873
10,2,1,1,1790.455,174.285,1877.452,359.453
9,2,1,1,1615.588,890.117,1748.101,1277.631
8,2,1,1,1607.143,601.733,1717.096,892.799
7,2,1,1,656.185,994.592,791.581,1387.335
6,2,1,1,876.425,392.142,956.344,628.416
5,2,1,1,793.722,235.410,861.430,427.627
4,2,1,1,719.708,220.830,786.893,408.145
3,2,1,1,286.849,230.501,365.794,416.410
2,2,1,1,285.748,291.418,370.556,493.414
1,2,1,1,235.925,770.142,371.546,1101.029
14,3,1,1,896.048,69.971,948.304,215.607
13,3,1,1,1373.436,4.386,1420.566,135.417
12,3,1,1,1463.882,27.544,1515.732,165.926
11,3,1,1,1645.293,113.597,1713.613,278.110
10,3,1,1,1797.886,172.318,1885.468,357.796
9,3,1,1,1627.375,906.218,1761.567,1301.171
8,3,1,1,1607.118,608.024,1717.676,900.778
7,3,1,1,672.956,976.058,806.358,1361.711
6,3,1,1,865.069,398.915,945.755,637.072
5,3,1,1,803.880,232.585,871.243,424.009
4,3,1,1,728.234,213.614,794.682,398.940
3,3,1,1,301.376,227.078,379.431,411.730
2,3,1,1,269.901,299.643,356.157,504.155
1,3,1,1,211.791,784.545,349.875,1120.979
14,4,1,1,897.967,68.639,950.090,213.909
13,4,1,1,1377.433,2.312,1424.460,133.056
12,4,1,1,1465.214,27.192,1517.068,165.583
11,4,1,1,1645.258,113.664,1713.583,278.188
10,4,1,1,1800.399,171.585,1888.103,357.321
9,4,1,1,1631.237,911.803,1766.123,1308.798
8,4,1,1,1607.107,610.128,1717.872,903.430
7,4,1,1,678.588,969.783,811.240,1353.270
6,4,1,1,861.296,401.143,942.214,639.986
5,4,1,1,807.260,231.660,874.518,422.787
4,4,1,1,731.075,211.217,797.279,395.864
3,4,1,1,306.189,226.010,384.006,410.098
2,4,1,1,264.653,302.312,351.324,507.807
1,4,1,1,203.767,789.319,342.632,1127.655
14,5,1,1,900.405,68.254,952.467,213.372
13,5,1,1,1380.888,0.233,1427.892,130.413
12,5,1,1,1466.874,27.454,1518.813,165.889
11,5,1,1,1646.052,111.395,1714.261,275.529
10,5,1,1,1802.779,172.259,1890.886,358.087
9,5,1,1,1635.657,920.427,1771.085,1321.880
8,5,1,1,1609.263,612.895,1720.360,907.034
7,5,1,1,683.557,963.616,815.657,1344.554
6,5,1,1,856.917,405.899,938.310,645.810
5,5,1,1,811.039,231.181,878.200,422.203
4,5,1,1,733.307,212.023,799.517,396.772
3,5,1,1,310.257,222.295,387.523,405.684
2,5,1,1,257.466,304.756,344.768,510.824
1,5,1,1,196.486,798.771,336.584,1140.073
14,6,1,1,902.646,67.740,954.638,212.688
13,6,1,1,1384.670,-1.773,1431.633,127.945
12,6,1,1,1468.464,27.313,1520.454,165.750
11,6,1,1,1646.454,109.463,1714.554,273.220
10,6,1,1,1804.839,172.057,1893.209,357.944
8,6,1,1,1610.388,616.583,1721.856,911.681
7,6,1,1,688.501,958.645,820.056,1337.482
6,6,1,1,852.687,409.731,934.482,650.589
5,6,1,1,814.901,230.275,881.942,421.083
4,6,1,1,736.077,211.927,802.232,396.603
3,6,1,1,314.152,219.482,390.976,402.194
2,6,1,1,251.267,306.822,339.099,513.473
1,6,1,1,189.197,806.374,330.353,1150.343
